,id,objeto,comunas,barrios,perimetro,area
0,1,LIMITE COMUNAL,2,RECOLETA,21452.8386478,6317264.56099
1,2,LIMITE COMUNAL,5,ALMAGRO - BOEDO,12323.4324792,6660603.11937
2,3,LIMITE COMUNAL,6,CABALLITO,10990.9644715,6851028.91356999
3,4,LIMITE COMUNAL,7,FLORES - PARQUE CHACABUCO,17972.2578696,12422900.8308
4,5,LIMITE COMUNAL,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,21411.738344,16505305.7861
5,6,LIMITE COMUNAL,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,18332.0374567,12656556.9377999
6,7,LIMITE COMUNAL,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,19987.696155,14120042.4238
7,8,LIMITE COMUNAL,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,17232.189372,15570926.6375999
8,9,LIMITE COMUNAL,14,PALERMO,22126.5318584,15845871.2875999
9,10,LIMITE COMUNAL,3,BALVANERA - SAN CRISTOBAL,10486.2608092,6385991.39577999
10,11,LIMITE COMUNAL,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,17832.5855796,14322896.6041
11,12,LIMITE COMUNAL,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,20935.0125125,22216901.8454999
12,13,LIMITE COMUNAL,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,35423.2827986,21684644.6266
13,14,LIMITE COMUNAL,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,36102.2015728,17794568.879
14,15,LIMITE COMUNAL,13,BELGRANO - COLEGIALES - NUÃ‘EZ,26198.8269533,14713213.1820999
